    n, merge_cmp, merge_swaps, merge_time
  699,      5719,           0,       3830
  700,      5743,           0,       3190
  701,      5740,           0,       3237
  702,      5777,           0,       3198
  703,      5779,           0,       3298
  704,      5754,           0,       3268
  705,      5762,           0,       3401
  706,      5794,           0,       3240
  707,      5808,           0,       3217
  708,      5816,           0,       3503
  709,      5828,           0,       3605
  710,      5842,           0,       3319
  711,      5863,           0,       3255
  712,      5873,           0,       3622
  713,      5878,           0,       3392
  714,      5875,           0,       3342
  715,      5898,           0,       3299
  716,      5905,           0,       3369
  717,      5902,           0,       3267
  718,      5939,           0,       3777
  719,      5938,           0,       3427
  720,      5949,           0,       3314
  721,      5962,           0,       4015
  722,      5961,           0,       3305
  723,      5978,           0,       3298
  724,      5988,           0,       3507
  725,      5987,           0,       3474
  726,      5992,           0,       4050
  727,      6019,           0,       4464
  728,      6029,           0,       4771
  729,      6041,           0,       5108
  730,      6047,           0,       3695
  731,      6057,           0,       4070
  732,      6052,           0,       3989
  733,      6063,           0,       3448
  734,      6080,           0,       3440
  735,      6100,           0,       3506
  736,      6098,           0,       4145
  737,      6108,           0,       3454
  738,      6111,           0,       3386
  739,      6127,           0,       3478
  740,      6130,           0,       3458
  741,      6136,           0,       4208
  742,      6162,           0,       3436
  743,      6180,           0,       3486
  744,      6163,           0,       3412
  745,      6177,           0,       3601
  746,      6182,           0,       3938
  747,      6186,           0,       3673
  748,      6206,           0,       3505
  749,      6212,           0,       4304
  750,      6227,           0,       3633
  751,      6237,           0,       3452
  752,      6232,           0,       3459
  753,      6239,           0,       3691
  754,      6260,           0,       3468
  755,      6273,           0,       3949
  756,      6289,           0,       3618
  757,      6304,           0,       4964
  758,      6292,           0,       4168
  759,      6314,           0,       7770
  760,      6347,           0,       3912
  761,      6361,           0,       3837
  762,      6347,           0,       5986
  763,      6350,           0,       6150
  764,      6371,           0,       4123
  765,      6364,           0,       4630
  766,      6378,           0,       4333
  767,      6388,           0,       3674
  768,      6406,           0,       3830
  769,      6416,           0,       3556
  770,      6416,           0,       3880
  771,      6445,           0,       3876
  772,      6442,           0,       3582
  773,      6452,           0,       3724
  774,      6479,           0,       4046
  775,      6475,           0,       3723
  776,      6488,           0,       3597
  777,      6503,           0,       3634
  778,      6496,           0,       3889
  779,      6512,           0,       3904
  780,      6541,           0,       3880
  781,      6545,           0,       3633
  782,      6569,           0,       4490
  783,      6593,           0,       3797
  784,      6545,           0,       3772
  785,      6554,           0,       3748
  786,      6589,           0,       3750
  787,      6615,           0,       3707
  788,      6610,           0,       4189
  789,      6618,           0,       4024
  790,      6627,           0,       3868
  791,      6640,           0,       3761
  792,      6634,           0,       3679
  793,      6649,           0,       3806
  794,      6667,           0,       3725
  795,      6687,           0,       3880
  796,      6684,           0,       3715
  797,      6695,           0,       4606
  798,      6695,           0,       3752
  799,      6717,           0,       3722
  800,      6726,           0,       3756
  801,      6736,           0,       4372
  802,      6727,           0,       3775
  803,      6756,           0,       3753
  804,      6761,           0,       3780
  805,      6761,           0,       3911
  806,      6803,           0,       4457
  807,      6808,           0,       3809
  808,      6803,           0,       3762
  809,      6821,           0,       4544
  810,      6827,           0,       3814
  811,      6844,           0,       3812
  812,      6832,           0,       3947
  813,      6837,           0,       3863
  814,      6870,           0,       3902
  815,      6878,           0,       4328
  816,      6867,           0,       4452
  817,      6880,           0,       4271
  818,      6908,           0,       3870
  819,      6924,           0,       3856
  820,      6911,           0,       4036
  821,      6921,           0,       3825
  822,      6934,           0,       4019
  823,      6931,           0,       4585
  824,      6977,           0,       3909
  825,      6982,           0,       3856
  826,      6988,           0,       4067
  827,      6993,           0,       5960
