    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  394,         39110,           38727,          35649,      2923,           0,       1490
  395,         39397,           39013,          35824,      2931,           0,       1499
  396,         39752,           39367,          36464,      2936,           0,       1665
  397,         40059,           39673,          37447,      2949,           0,       1528
  398,         40408,           40021,          36919,      2951,           0,       1967
  399,         40610,           40222,          37168,      2963,           0,       1550
  400,         40984,           40595,          37925,      2981,           0,       1543
  401,         41256,           40866,          37680,      2991,           0,       1575
  402,         41338,           40947,          37553,      2991,           0,       1530
  403,         41373,           40981,          38568,      3006,           0,       1531
  404,         41529,           41136,          39708,      3019,           0,       1562
  405,         41893,           41499,          60175,      3028,           0,       1542
  406,         42003,           41608,          38481,      3024,           0,       1543
  407,         42158,           41762,          39919,      3029,           0,       1547
  408,         42472,           42075,          40391,      3036,           0,       1681
  409,         42490,           42092,          40186,      3055,           0,       1591
  410,         42725,           42326,          39628,      3053,           0,       1591
  411,         42734,           42334,          40665,      3061,           0,       1621
  412,         43036,           42635,          39173,      3086,           0,       1701
  413,         43434,           43032,          39591,      3088,           0,       1577
  414,         43608,           43205,          40187,      3077,           0,       1888
  415,         43767,           43363,          41080,      3086,           0,       1574
  416,         44050,           43645,          40975,      3124,           0,       1585
  417,         44199,           43793,          41094,      3133,           0,       1597
  418,         44349,           43942,          41301,      3130,           0,       1595
  419,         44438,           44030,          40561,      3139,           0,       1680
  420,         44806,           44397,          41810,      3167,           0,       1614
  421,         45055,           44645,          41542,      3169,           0,       1652
  422,         45440,           45029,          42924,      3170,           0,       1613
  423,         45682,           45270,          42591,      3194,           0,       1655
  424,         45895,           45482,          41718,      3185,           0,       1686
  425,         46244,           45830,          43018,      3189,           0,       1625
  426,         46653,           46238,          43276,      3197,           0,       1740
  427,         46915,           46499,          42782,      3205,           0,       1632
  428,         47030,           46613,          43418,      3229,           0,       1682
  429,         47283,           46865,          44162,      3239,           0,       1690
  430,         47532,           47113,          43336,      3249,           0,       1653
  431,         47843,           47423,          45319,      3256,           0,       1700
  432,         48097,           47676,          46291,      3255,           0,       1657
  433,         48140,           47718,          44921,      3262,           0,       1659
  434,         48162,           47739,          44671,      3277,           0,       1872
  435,         48395,           47971,          45351,      3281,           0,       1747
  436,         48489,           48064,          44958,      3283,           0,       1677
  437,         48773,           48347,          45220,      3300,           0,       1689
  438,         49050,           48623,          44888,      3311,           0,       1741
  439,         49179,           48751,          46961,      3317,           0,       1695
  440,         49312,           48883,          45635,      3318,           0,       1817
  441,         49633,           49203,          48592,      3331,           0,       1724
  442,         49906,           49475,          46864,      3344,           0,       2054
  443,         49933,           49501,          46201,      3356,           0,       1864
  444,         50193,           49760,          46605,      3359,           0,       1928
  445,         50601,           50167,          46792,      3372,           0,       1771
  446,         50782,           50347,          46799,      3385,           0,       1718
  447,         51159,           50723,          47492,      3386,           0,       1832
  448,         51308,           50871,          47657,      3410,           0,       1786
  449,         51363,           50925,          47795,      3418,           0,       1786
  450,         51394,           50955,          47068,      3423,           0,       1733
  451,         51401,           50961,          68313,      3427,           0,       1739
  452,         51515,           51074,          52637,      3437,           0,       1816
  453,         51930,           51488,          48411,      3446,           0,       1749
  454,         52176,           51733,          49329,      3461,           0,       1763
  455,         52589,           52145,          48240,      3465,           0,       1827
  456,         52903,           52458,          48829,      3472,           0,       1799
  457,         52988,           52542,          50626,      3483,           0,       1784
  458,         53017,           52570,          48897,      3480,           0,       1921
  459,         53193,           52745,          48766,      3500,           0,       1777
  460,         53480,           53031,          49798,      3520,           0,       1785
  461,         53649,           53199,          49844,      3532,           0,       1794
  462,         53932,           53481,          49933,      3532,           0,       1821
  463,         54034,           53582,          51703,      3539,           0,       2027
  464,         54168,           53715,          49747,      3540,           0,       1930
  465,         54421,           53967,          49856,      3553,           0,       1867
  466,         54542,           54087,          51737,      3552,           0,       1892
  467,         54842,           54386,          49970,      3563,           0,       1861
  468,         54883,           54426,          50626,      3588,           0,       1816
  469,         55089,           54631,          51339,      3604,           0,       1952
  470,         55213,           54754,          53749,      3598,           0,       1840
  471,         55369,           54909,          52114,      3603,           0,       1979
  472,         55444,           54983,          55149,      3603,           0,       1913
  473,         55616,           55154,          52459,      3611,           0,       1963
  474,         56043,           55580,          51189,      3621,           0,       1893
  475,         56442,           55978,          53209,      3641,           0,       1842
  476,         56719,           56254,          53079,      3639,           0,       1844
  477,         56905,           56439,          53575,      3654,           0,       1984
  478,         57219,           56752,          52466,      3663,           0,       1880
  479,         57617,           57149,          52942,      3664,           0,       1859
  480,         58037,           57568,          55421,      3697,           0,       1893
  481,         58372,           57902,          54209,      3704,           0,       1877
  482,         58739,           58268,          54825,      3697,           0,       1868
  483,         59099,           58627,          55387,      3712,           0,       1919
  484,         59246,           58773,          55401,      3724,           0,       1962
  485,         59535,           59061,          55784,      3734,           0,       1927
  486,         59740,           59265,          56704,      3730,           0,       1972
  487,         59798,           59322,          54771,      3748,           0,       1972
  488,         60237,           59760,          57280,      3755,           0,       1921
  489,         60663,           60185,          57564,      3759,           0,       1987
  490,         61055,           60576,          59463,      3772,           0,       1919
  491,         61107,           60627,          57016,      3783,           0,       1982
  492,         61592,           61111,          57418,      3799,           0,       1991
  493,         61694,           61212,          57313,      3796,           0,       1954
  494,         61882,           61399,          58310,      3821,           0,       1931
  495,         62007,           61523,          56642,      3824,           0,       1932
  496,         62437,           61952,          57991,      3822,           0,       1962
  497,         62460,           61974,          57148,      3829,           0,       1936
  498,         62619,           62132,          57471,      3829,           0,       1941
